Reaction_ID,Reaction_Equation,Subsystem
CYO1_KT,2.0 ficytc_c + 2.0 h_c + q8h2_c --> 2.0 focytc_c + 2.0 h_p + q8_c,Energy Metabolism
CYO4pp,2.0 ficytc_c + pqqh2_p --> 2.0 focytc_c + pqq_p,Aromatic Compound Degradation
CYRDAAT,atp_c + co1dam_c + h_c --> adcobdam_c + pppi_c,Cofactor and Vitamin Biosynthesis
CYRDAR,2.0 co2dam_c + nadh_c --> 2.0 co1dam_c + h_c + nad_c,Cofactor and Vitamin Biosynthesis
CYSDS,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,Amino Acid Metabolism
CYSDabcpp,atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c,Transport Systems
CYSDtex,cys__D_e <=> cys__D_p,Transport Systems
CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c,Amino Acid Metabolism
SLCYSS,acser_c + tsul_c --> ac_c + scys__L_c,Amino Acid Metabolism
CYSSADS,3sala_c + 2.0 h_c --> ala__L_c + so2_c,Metal and Inorganic Metabolism
CYSTGL,cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c,Amino Acid Metabolism
CYSTL,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,Amino Acid Metabolism
CYSTRS,atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + ppi_c,Cellular Processes and Storage
CYSTS,hcys__L_c + ser__L_c --> cyst__L_c + h2o_c,Amino Acid Metabolism
CYSabcpp,atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,Transport Systems
CYStex,cys__L_e <=> cys__L_p,Transport Systems
CYStpp,cys__L_c --> cys__L_p,Transport Systems
CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c,Energy Metabolism
CYTBO3_4pp,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,Energy Metabolism
CYTCAA3pp,2.0 focytc_c + 2.0 h_c + 0.5 o2_c --> 2.0 ficytc_c + h2o_c + 2.0 h_p,Energy Metabolism
CYTCBB3pp,2.0 focytc_c + h_c + 0.5 o2_c --> 2.0 ficytc_c + h2o_c + h_p,Energy Metabolism
CYTDH,cytd_c + h2o_c --> csn_c + rib__D_c,Nucleotide Metabolism
CYTK1,atp_c + cmp_c <=> adp_c + cdp_c,Nucleotide Metabolism
CYTK2,atp_c + dcmp_c <=> adp_c + dcdp_c,Nucleotide Metabolism
DAAD,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c,Nitrogen Metabolism
DAAD11,fad_c + h2o_c + tyr__D_c --> 34hpp_c + fadh2_c + nh4_c,Nitrogen Metabolism
DAAD12,fad_c + h2o_c + val__D_c --> 3mob_c + fadh2_c + nh4_c,Nitrogen Metabolism
DAAD2,arg__D_c + fad_c + h2o_c --> 5g2oxpt_c + fadh2_c + nh4_c,Nitrogen Metabolism
DAAD3,fad_c + h2o_c + leu__D_c --> 4mop_c + fadh2_c + nh4_c,Nitrogen Metabolism
DAAD4,fad_c + h2o_c + met__D_c --> 2kmb_c + fadh2_c + nh4_c,Nitrogen Metabolism
DAAD5,fad_c + h2o_c + orn__D_c --> 5a2opntn_c + fadh2_c + nh4_c,Nitrogen Metabolism
DAAD6,fad_c + h2o_c + phe__D_c --> fadh2_c + nh4_c + phpyr_c,Amino Acid Metabolism
DAAD7,fad_c + pro__D_c --> 1p2cbxl_c + fadh2_c + h_c,Nitrogen Metabolism
DAAD8,fad_c + h2o_c + ser__D_c --> fadh2_c + hpyr_c + nh4_c,Nitrogen Metabolism
DABAAT2,24dab_c + akg_c + h_c <=> aspsa_c + glu__L_c,Nitrogen Metabolism
DADA,dad_2_c + h2o_c + h_c --> din_c + nh4_c,Nucleotide Metabolism
DADK,atp_c + damp_c <=> adp_c + dadp_c,Nucleotide Metabolism
DAGK120,12dgr120_c + atp_c --> adp_c + h_c + pa120_c,Fatty Acid and Lipid Metabolism
DAGK140,12dgr140_c + atp_c --> adp_c + h_c + pa140_c,Fatty Acid and Lipid Metabolism
DAGK141,12dgr141_c + atp_c --> adp_c + h_c + pa141_c,Fatty Acid and Lipid Metabolism
DAGK160,12dgr160_c + atp_c --> adp_c + h_c + pa160_c,Fatty Acid and Lipid Metabolism
DAGK161,12dgr161_c + atp_c --> adp_c + h_c + pa161_c,Fatty Acid and Lipid Metabolism
DAGK180,12dgr180_c + atp_c --> adp_c + h_c + pa180_c,Fatty Acid and Lipid Metabolism
DAGK181,12dgr181_c + atp_c --> adp_c + h_c + pa181_c,Fatty Acid and Lipid Metabolism
DAGLIPA160ex,12dgr160_e + h2o_e --> 1ag160_e + h_e + hdca_e,Fatty Acid and Lipid Metabolism
DAGLIPA180ex,12dgr180_e + h2o_e --> 1ag180_e + h_e + ocdca_e,Fatty Acid and Lipid Metabolism
DAGLIPA181d9ex,dag181d9_e + h2o_e --> 1ag181d9_e + h_e + ocdcea_e,Fatty Acid and Lipid Metabolism
DAGLIPA182d9d12ex,dag182d9d12_e + h2o_e --> 1ag182d9d12_e + h_e + lnlc_e,Fatty Acid and Lipid Metabolism
DALAALAD,balaala_c + h2o_c --> ala__D_c + ala__L_c,Nitrogen Metabolism
DALADALAD,balabala_c + h2o_c --> 2.0 ala__D_c,Nitrogen Metabolism
DALAGLYD,balagly_c + h2o_c --> ala__D_c + gly_c,Nitrogen Metabolism
DALALEUD,balaleu_c + h2o_c --> ala__D_c + leu__L_c,Nitrogen Metabolism
DALAabcpp,ala__D_p + atp_c + h2o_c --> adp_c + ala__D_c + h_c + pi_c,Transport Systems
DALAt2pp,ala__D_p + h_p --> ala__D_c + h_c,Transport Systems
DALAtex,ala__D_e <=> ala__D_p,Transport Systems
DAPAT,15dap_c + akg_c --> glu__L_c + h2o_c + h_c + pprdn_c,Amino Acid Metabolism
DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c,Amino Acid Metabolism
DAPE,26dap_LL_c <=> 26dap__M_c,Amino Acid Metabolism
DAPabcpp,26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,Transport Systems
DAPtex,15dap_e <=> 15dap_p,Transport Systems
DARGabcpp,arg__D_p + atp_c + h2o_c --> adp_c + arg__D_c + h_c + pi_c,Transport Systems
DARGtex,arg__D_e <=> arg__D_p,Transport Systems
DASNabcpp,asn__D_p + atp_c + h2o_c --> adp_c + asn__D_c + h_c + pi_c,Transport Systems
DASNtex,asn__D_e <=> asn__D_p,Transport Systems
DASYN120,ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c,Fatty Acid and Lipid Metabolism
DASYN140,ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c,Fatty Acid and Lipid Metabolism
DASYN141,ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c,Fatty Acid and Lipid Metabolism
DASYN160,ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c,Fatty Acid and Lipid Metabolism
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,Fatty Acid and Lipid Metabolism
DASYN180,ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c,Fatty Acid and Lipid Metabolism
DASYN181,ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c,Fatty Acid and Lipid Metabolism
DATPHs,datp_c + h2o_c + h_c --> ditp_c + nh4_c,Nucleotide Metabolism
DB4PS,ru5p__D_c --> db4p_c + for_c + h_c,Cofactor and Vitamin Biosynthesis
DBTS,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,Cofactor and Vitamin Biosynthesis
DCAtex,dca_e --> dca_p,Transport Systems
DCTPD,dctp_c + h2o_c + h_c --> dutp_c + nh4_c,Nucleotide Metabolism
DCTPD2,ctp_c + h2o_c + h_c --> nh4_c + utp_c,Nucleotide Metabolism
DDCAtexi,ddca_e --> ddca_p,Transport Systems
DDGLK,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,Alternative Carbon Metabolism
DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,Amino Acid Metabolism
DESATPE160,2.0 h_c + 2.0 nadph_c + 2.0 o2_c + pe160_c --> 4.0 h2o_c + 2.0 nadp_c + pe161_c,Fatty Acid and Lipid Metabolism
DESATPG160,2.0 h_c + 2.0 nadph_c + 2.0 o2_c + pg160_c --> 4.0 h2o_c + 2.0 nadp_c + pg161_c,Fatty Acid and Lipid Metabolism
DGBUTNH,dgudbutn_c + h2o_c --> agm_c + urea_c,Nitrogen Metabolism
DGK1,atp_c + dgmp_c <=> adp_c + dgdp_c,Nucleotide Metabolism
DGUDBUTNabcpp,atp_c + dgudbutn_p + h2o_c --> adp_c + dgudbutn_c + h_c + pi_c,Transport Systems
DGUDBUTNtex,dgudbutn_e <=> dgudbutn_p,Transport Systems
DH3MCHCDH,dh3mchc_c + nad_c --> 3mcat_c + co2_c + nadh_c,Aromatic Compound Degradation
DH4MCHCDH,dh4mchc_c + nad_c --> 4mcat_c + co2_c + nadh_c,Aromatic Compound Degradation
DHACOAH,23dhacoa_c + h2o_c <=> 3hadpcoa_c,Aromatic Compound Degradation
DHAD1,23dhmb_c --> 3mob_c + h2o_c,Alternative Carbon Metabolism
DHAD2,23dhmp_c --> 3mop_c + h2o_c,Amino Acid Metabolism
DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,Amino Acid Metabolism
DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,Amino Acid Metabolism
DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,Cofactor and Vitamin Biosynthesis
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,Cofactor and Vitamin Biosynthesis
DHMPTR,dhmpt_c + h_c + nadph_c --> nadp_c + thmnp_c,Cofactor and Vitamin Biosynthesis
DHMPTRx,dhmpt_c + h_c + nadh_c --> nad_c + thmnp_c,Cofactor and Vitamin Biosynthesis
DHNPA_1,dhnpt_c --> 2ahhmp_c + gcald_c,Cofactor and Vitamin Biosynthesis
DHNPTE,dhnpt_c <=> dhmpt_c,Cofactor and Vitamin Biosynthesis
DHORD2,dhor__S_c + q8_c --> orot_c + q8h2_c,Nucleotide Metabolism
DHORDfum,dhor__S_c + fum_c --> orot_c + succ_c,Nucleotide Metabolism
DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c,Nucleotide Metabolism
DHPM1,56dura_c + h2o_c --> cala_c + h_c,Nucleotide Metabolism
DHPM2,56dthm_c + h2o_c --> 3uib_c + h_c,Nucleotide Metabolism
DHPPDA2,25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c,Cofactor and Vitamin Biosynthesis
DHPS,2ahhmp_c + 4abz_c --> dhpt_c + h2o_c,Cofactor and Vitamin Biosynthesis
DHQD,3dhq_c <=> 3dhsk_c + h2o_c,Amino Acid Metabolism
DHQS,2dda7p_c --> 3dhq_c + pi_c,Amino Acid Metabolism
DHSKDH,3dhsk_c --> 34dhbz_c + h2o_c,Aromatic Compound Degradation
DKGLCNR3,25dkglcn_c + h_c + nadph_c --> 2dhglcn_c + nadp_c,Alternative Carbon Metabolism
DLASNR,asn__L_c <=> asn__D_c,Nitrogen Metabolism
DLCYSR,cys__L_c <=> cys__D_c,Nitrogen Metabolism
DLEUabcpp,atp_c + h2o_c + leu__D_p --> adp_c + h_c + leu__D_c + pi_c,Transport Systems
DLEUtex,leu__D_e <=> leu__D_p,Transport Systems
DLMETR,met__L_c <=> met__D_c,Nitrogen Metabolism
DLYSAD,fad_c + h2o_c + lys__D_c --> 6a2ohxnt_c + fadh2_c + nh4_c,Amino Acid Metabolism
DLYSOXGAT,akg_c + lys__D_c <=> 6a2ohxnt_c + glu__D_c,Amino Acid Metabolism
DLYSPYRAT,lys__D_c + pyr_c <=> 6a2ohxnt_c + ala__D_c,Amino Acid Metabolism
DLYSabcpp,atp_c + h2o_c + lys__D_p --> adp_c + h_c + lys__D_c + pi_c,Transport Systems
DLYStex,lys__D_e <=> lys__D_p,Transport Systems
DMATT,dmpp_c + ipdp_c --> grdp_c + ppi_c,Cofactor and Vitamin Biosynthesis
DMETtex,met__D_e <=> met__D_p,Transport Systems
DMGDH2,dmgly_c + h2o_c + nad_c <=> fald_c + h_c + nadh_c + sarcs_c,Nitrogen Metabolism
DMGLYBabcpp,atp_c + dmgly_p + h2o_c --> adp_c + dmgly_c + h_c + pi_c,Transport Systems
DMGLYtex,dmgly_e <=> dmgly_p,Transport Systems
DMPPS,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,Cofactor and Vitamin Biosynthesis
DMQMT,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c,Cofactor and Vitamin Biosynthesis
DMSO2abcpp,atp_c + dmso2_p + h2o_c --> adp_c + dmso2_c + h_c + pi_c,Transport Systems
DMSO2tex,dmso2_e <=> dmso2_p,Transport Systems
DM_5drib_c,5drib_c --> ,Core Cellular Functions
DM_amob_c,amob_c --> ,Core Cellular Functions
DM_C100aPHA,C100aPHA_c --> ,Transport Systems
DM_C100pPHA,C100pPHA_c --> ,Transport Systems
DM_C101PHA,C101PAH_c --> ,Transport Systems
DM_C120aPHA,C120aPHA_c --> ,Transport Systems
DM_C121aPHA,C121aPHA_c --> ,Transport Systems
DM_C121d6PHA,C121d6PHA_c --> ,Transport Systems
DM_C140aPHA,C140aPHA_c --> ,Transport Systems
DM_C141aPHA,C141aPHA_c --> ,Transport Systems
DM_C141d5PHA,C141d5PHA_c --> ,Transport Systems
DM_C142PHA,C142PHA_c --> ,Transport Systems
DM_C40aPHA,C40aPHA_c --> ,Transport Systems
DM_C40atPHA,C40atPHA_c --> ,Transport Systems
DM_C40pPHA,C40pPHA_c --> ,Transport Systems
DM_C50aPHA,C50aPHA_c --> ,Transport Systems
DM_C50pPHA,C50pPHA_c --> ,Transport Systems
DM_C60aPHA,C60aPHA_c --> ,Transport Systems
DM_C60atPHA,C60atPHA_c --> ,Transport Systems
DM_C60pPHA,C60pPHA_c --> ,Transport Systems
DM_C70aPHA,C70aPHA_c --> ,Transport Systems
DM_C70pPHA,C70pPHA_c --> ,Transport Systems
DM_C80aPHA,C80aPHA_c --> ,Transport Systems
DM_C80pPHA,C80pPHA_c --> ,Transport Systems
DM_C90aPHA,C90aPHA_c --> ,Transport Systems
DM_C90pPHA,C90pPHA_c --> ,Transport Systems
DM__acmum6p,acmum6p_c --> ,Cell Envelope and Wall Biosynthesis
DM__ppi50,ppi50_c --> ,Metal and Inorganic Metabolism
DM_acgam,acgam_c --> ,Cell Envelope and Wall Biosynthesis
DM_doxopa,doxopa_c --> ,Amino Acid Metabolism
DM_tripeptide_c_,tripeptide_c --> ,Transport Systems
DNMPPA,dhpmp_c + h2o_c --> dhnpt_c + pi_c,Cofactor and Vitamin Biosynthesis
DNTAep,35dnta_c + h_p --> 35dnta_e + h_c,Stress Response and Environmental Adaptation
DNTPPA,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,Cofactor and Vitamin Biosynthesis
DOPAtex,dopa_e <=> dopa_p,Transport Systems
DOPAtpp,dopa_p <=> dopa_c,Transport Systems
DOPDH,25dop_c + h2o_c + nadp_c <=> akg_c + 2.0 h_c + nadph_c,Alternative Carbon Metabolism
DORNabcpp,atp_c + h2o_c + orn__D_p --> adp_c + h_c + orn__D_c + pi_c,Transport Systems
DORNtex,orn__D_e <=> orn__D_p,Transport Systems
DPCOAK,atp_c + dpcoa_c --> adp_c + coa_c + h_c,Cofactor and Vitamin Biosynthesis
DPHEt2rpp,h_p + phe__D_p <=> h_c + phe__D_c,Transport Systems
DPHEtex,phe__D_e <=> phe__D_p,Transport Systems
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,Cofactor and Vitamin Biosynthesis
DPROabcpp,atp_c + h2o_c + pro__D_p --> adp_c + h_c + pi_c + pro__D_c,Transport Systems
DPROtex,pro__D_e <=> pro__D_p,Transport Systems
DSBAO1,dsbard_p + q8_c --> dsbaox_p + q8h2_c,Energy Metabolism
DSBCGT,dsbcox_p + 2.0 gthrd_p --> dsbcrd_p + gthox_p,Energy Metabolism
DSBDR,dsbdox_c + trdrd_c --> dsbdrd_c + trdox_c,Energy Metabolism
DSBGGT,dsbgox_p + 2.0 gthrd_p --> dsbgrd_p + gthox_p,Energy Metabolism
DSERt2pp,h_p + ser__D_p --> h_c + ser__D_c,Transport Systems
DSERtex,ser__D_e <=> ser__D_p,Transport Systems
DTMPK,atp_c + dtmp_c <=> adp_c + dtdp_c,Nucleotide Metabolism
DTYRt2rpp,h_p + tyr__D_p <=> h_c + tyr__D_c,Transport Systems
DTYRtex,tyr__D_e <=> tyr__D_p,Transport Systems
DURAD,56dura_c + nadp_c <=> h_c + nadph_c + ura_c,Nucleotide Metabolism
DURAD2,56dthm_c + nadp_c <=> h_c + nadph_c + thym_c,Nucleotide Metabolism
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,Nucleotide Metabolism
DVALabcpp,atp_c + h2o_c + val__D_p --> adp_c + h_c + pi_c + val__D_c,Transport Systems
DVALtex,val__D_e <=> val__D_p,Transport Systems
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,Cofactor and Vitamin Biosynthesis
DXPS,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,Cofactor and Vitamin Biosynthesis
D_LACt2pp,h_p + lac__D_p <=> h_c + lac__D_c,Transport Systems
D_LACtex,lac__D_e <=> lac__D_p,Transport Systems
E4PD,e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,Cofactor and Vitamin Biosynthesis
EAR100y,h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR121y,h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR141y,h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c,Fatty Acid and Lipid Metabolism
EAR160y,h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c,Fatty Acid and Lipid Metabolism
EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,Fatty Acid and Lipid Metabolism
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,Fatty Acid and Lipid Metabolism
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR60y,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,Fatty Acid and Lipid Metabolism
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,Fatty Acid and Lipid Metabolism
ECOAE,3hbcoa_c <=> 3hbcoa__R_c,Alternative Carbon Metabolism
ECOAH1,3hbcoa_c <=> b2coa_c + h2o_c,Fatty Acid and Lipid Metabolism
ECOAH12,2mp2coa_c + h2o_c --> 3hibutcoa_c,Amino Acid Metabolism
ECOAH14,h2o_c + hp2coa_c <=> 3hhpcoa_c,Fatty Acid and Lipid Metabolism
ECOAH15,h2o_c + nona2coa_c <=> 3hnonacoa_c,Fatty Acid and Lipid Metabolism
ECOAH16,h2o_c + pdca2coa_c <=> 3hpdecacoa_c,Fatty Acid and Lipid Metabolism
ECOAH17,h2o_c + pnona2coa_c <=> 3hpnonacoa_c,Fatty Acid and Lipid Metabolism
ECOAH18,h2o_c + pocta2coa_c <=> 3hpoctacoa_c,Fatty Acid and Lipid Metabolism
ECOAH19,h2o_c + php2coa_c <=> 3hphpcoa_c,Fatty Acid and Lipid Metabolism
ECOAH2,3hhcoa_c <=> h2o_c + hx2coa_c,Fatty Acid and Lipid Metabolism
ECOAH20,h2o_c + phxa2coa_c <=> 3hphxacoa_c,Fatty Acid and Lipid Metabolism
ECOAH21,h2o_c + ppt2coa_c <=> 3hpptcoa_c,Fatty Acid and Lipid Metabolism
ECOAH22,h2o_c + pb2coa_c <=> 3hpbcoa_c,Fatty Acid and Lipid Metabolism
ECOAH23,6ath2coa_c + h2o_c <=> 3h6athcoa_c,Fatty Acid and Lipid Metabolism
ECOAH24,4atb2coa_c + h2o_c <=> 3h4atbcoa_c,Fatty Acid and Lipid Metabolism
ECOAH25,3hvacccoa_c <=> h2o_c + vacc2coa_c,Fatty Acid and Lipid Metabolism
ECOAH26,3hhdccoa_c <=> h2o_c + hd2coa_c,Fatty Acid and Lipid Metabolism
ECOAH27,3htdccoa_c <=> h2o_c + tde2coa_c,Fatty Acid and Lipid Metabolism
ECOAH28,3hddccoa_c <=> dde2coa_c + h2o_c,Fatty Acid and Lipid Metabolism
ECOAH29,3hodecoa_c <=> h2o_c + ode2coa_c,Fatty Acid and Lipid Metabolism
ECOAH3,3hocoa_c <=> h2o_c + oc2coa_c,Fatty Acid and Lipid Metabolism
ECOAH30,3hhdd7coa_c <=> h2o_c + hdd7_2_coa_c,Fatty Acid and Lipid Metabolism
ECOAH31,3hdd5coa_c <=> h2o_c + tded5_2_coa_c,Fatty Acid and Lipid Metabolism
ECOAH32,3hptslacoa_c <=> h2o_c + ptsla2coa_c,Fatty Acid and Lipid Metabolism
ECOAH33,3hhdd4coa_c <=> h2o_c + hdd4_2_coa_c,Fatty Acid and Lipid Metabolism
ECOAH34,3hlnlccoa_c <=> h2o_c + lnlc2coa_c,Fatty Acid and Lipid Metabolism
ECOAH35,3hhd710coa_c <=> h2o_c + hd710_2_coa_c,Fatty Acid and Lipid Metabolism
ECOAH36,3hhd58coa_c <=> h2o_c + td58_2_coa_c,Fatty Acid and Lipid Metabolism
ECOAH37,3hdd6coa_c <=> dd6_2_coa_c + h2o_c,Fatty Acid and Lipid Metabolism
ECOAH38,3hdec4coa_c <=> dec4_2_coa_c + h2o_c,Fatty Acid and Lipid Metabolism
ECOAH4,3hdcoa_c <=> dc2coa_c + h2o_c,Fatty Acid and Lipid Metabolism
ECOAH5,3hddcoa_c <=> dd2coa_c + h2o_c,Fatty Acid and Lipid Metabolism
ECOAH6,3htdcoa_c <=> h2o_c + td2coa_c,Fatty Acid and Lipid Metabolism
ECOAH7,3hhdcoa_c <=> h2o_c + hdd2coa_c,Fatty Acid and Lipid Metabolism
ECOAH8,3hodcoa_c <=> h2o_c + od2coa_c,Fatty Acid and Lipid Metabolism
ECOAH9ir,2mb2coa_c + h2o_c --> 3hmbcoa_c,Amino Acid Metabolism
ECTOH,ecto__L_c + h2o_c --> aac24dab_c,Nitrogen Metabolism
ECTOabcpp,atp_c + ecto__L_p + h2o_c --> adp_c + ecto__L_c + h_c + pi_c,Transport Systems
ECTOtex,ecto__L_e <=> ecto__L_p,Transport Systems
EDA,2ddg6p_c --> g3p_c + pyr_c,Central Carbon Metabolism
EDD,6pgc_c --> 2ddg6p_c + h2o_c,Central Carbon Metabolism
EDTXS1_kt,ddcaACP_c + kdo2lipid4_kt_c --> ACP_c + kdo2lipid4L_kt_c,Cell Envelope and Wall Biosynthesis
EDTXS2_kt,ddcaACP_c + kdo2lipid4L_kt_c --> ACP_c + lipa_kt_c,Cell Envelope and Wall Biosynthesis
EDTXS5_kt,ddcaACP_c + lipidA_kt_c --> ACP_c + lipid4L_kt_c,Cell Envelope and Wall Biosynthesis
EDTXS6_kt,ddcaACP_c + lipid4L_kt_c --> ACP_c + lipa2_kt_c,Cell Envelope and Wall Biosynthesis
EGMEACPR,egmeACP_c + h_c + nadph_c --> gmeACP_c + nadp_c,Cofactor and Vitamin Biosynthesis
ENO,2pg_c <=> h2o_c + pep_c,Central Carbon Metabolism
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,Cofactor and Vitamin Biosynthesis
ETHAAL,etha_c --> acald_c + nh4_c,Nitrogen Metabolism
ETHAt2pp,etha_p + h_p --> etha_c + h_c,Transport Systems
ETHAtex,etha_e <=> etha_p,Transport Systems
ETHSO3abcpp,atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c,Transport Systems
ETHSO3tex,ethso3_e <=> ethso3_p,Transport Systems
ETOHtex,etoh_e <=> etoh_p,Transport Systems
ETOHtrpp,etoh_p <=> etoh_c,Transport Systems
EX_12dgr160_e,12dgr160_e --> ,Transport Systems
EX_12dgr180_e,12dgr180_e --> ,Transport Systems
EX_13dampp_e,13dampp_e --> ,Transport Systems
EX_15dap_e,15dap_e --> ,Transport Systems
EX_1ag160_e,1ag160_e --> ,Transport Systems
EX_1ag180_e,1ag180_e --> ,Transport Systems
EX_1ag181d9_e,1ag181d9_e --> ,Transport Systems
EX_1ag182d9d12_e,1ag182d9d12_e --> ,Transport Systems
EX_25dkglcn_e,25dkglcn_e --> ,Transport Systems
EX_26dap__M_e,26dap__M_e --> ,Transport Systems
EX_AEP_e,2ameph_e --> ,Transport Systems
EX_2ddglcn_e,2ddglcn_e --> ,Transport Systems
EX_2dhglcn_e,2dhglcn_e --> ,Transport Systems
EX_2m35mdntha_e,2m35mdntha_e --> ,Transport Systems
EX_34dhbz_e,34dhbz_e --> ,Transport Systems
EX_34dhcinm_e,34dhcinm_e --> ,Transport Systems
EX_34dhphe_e,34dhphe_e --> ,Transport Systems
EX_35dnta_e,35dnta_e --> ,Transport Systems
EX_3h4atb_e,3h4atb_e --> ,Transport Systems
EX_3mb_e,3mb_e --> ,Transport Systems
EX_3oxoadp_e,3oxoadp_e --> ,Transport Systems
EX_4abut_e,4abut_e --> ,Transport Systems
EX_4hbz_e,4hbz_e --> ,Transport Systems
EX_4hpro_DC_e,4hpro_DC_e --> ,Transport Systems
EX_4hpro_LT_e,4hpro_LT_e --> ,Transport Systems
EX_5aptn_e,5aptn_e --> ,Transport Systems
EX_5mcsn_e,5mcsn_e --> ,Transport Systems
EX_5oxpro_e,5oxpro_e --> ,Transport Systems
EX_6atha_e,6atha_e --> ,Transport Systems
EX_6hnac_e,6hnac_e --> ,Transport Systems
EX_met__D_e,met__D_e --> ,Transport Systems
EX_LalaLglu_e,LalaLglu_e --> ,Transport Systems
EX_Ncbmpts_e,Ncbmpts_e --> ,Transport Systems
EX_R3hdec4e_e,R3hdec4e_e --> ,Transport Systems
EX_R_3h4atba_e,R_3h4atba_e --> ,Transport Systems
EX_R_3h6atha_e,R_3h6atha_e --> ,Transport Systems
EX_R_3hcmrs7e_e,R_3hcmrs7e_e --> ,Transport Systems
EX_R_3hdcaa_e,R_3hdcaa_e --> ,Transport Systems
EX_R_3hdd5ea_e,R_3hdd5ea_e --> ,Transport Systems
EX_R_3hdd6e_e,R_3hdd6e_e --> ,Transport Systems
EX_R_3hdda_e,R_3hdda_e --> ,Transport Systems
EX_R_3hhdca_e,R_3hhdca_e --> ,Transport Systems
EX_R_3hhpa_e,R_3hhpa_e --> ,Transport Systems
EX_R_3hhxa_e,R_3hhxa_e --> ,Transport Systems
EX_R_3hnonaa_e,R_3hnonaa_e --> ,Transport Systems
EX_R_3hocta_e,R_3hocta_e --> ,Transport Systems
EX_R_3hpba_e,R_3hpba_e --> ,Transport Systems
EX_R_3hpdeca_e,R_3hpdeca_e --> ,Transport Systems
EX_R_3hphpa_e,R_3hphpa_e --> ,Transport Systems
EX_R_3hphxa_e,R_3hphxa_e --> ,Transport Systems
EX_R_3hpnona_e,R_3hpnona_e --> ,Transport Systems
