ID,Reaction,Name,Subsystem
HSD3A1r,andrstandn_r + h_r + nadh_r --> andrstrn_r + nad_r,3 alpha-hydroxysteroid dehydrogenase (type 3),Unassigned
HSTPTr,glu__L_c + imacp_c --> akg_c + h_c + hisp_c,Histidinol phosphate transaminase,Unassigned
KAS6,17.0 h_c + ibcoa_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa6_c + 5.0 h2o_c + 12.0 nadp_c,B-ketoacyl synthetase (Iso-C16:0),Unassigned
MS,h_m + hcys__L_m + mhpglu_m --> hpglu_m + met__L_m,5-methyltetrahydropteroyltriglutamate---homocysteine S-methyltransferase,Unassigned
PACCOAL2,4hphac_c + atp_c + coa_c --> amp_c + hphaccoa_c + ppi_c,Phenylacetate-CoA ligase (hydroxyphenylacetate),Unassigned
PACL,atp_c + coa_c + pac_c --> amp_c + h_c + phaccoa_c + ppi_c,Phenylacetate---CoA ligase,Unassigned
PAN4PP,h2o_c + pan4p_c --> pi_c + ptth_c,Phosphatase (pan4p),Unassigned
PHACTE,h2o_c + phaccoa_c --> coa_c + pac_c,Phenylacetyl CoA thioesterase,Unassigned
PHYT3,h2o_c + inoshp_c --> inospp1_c + pi_c,3 phytase,Unassigned
PPBNGS_1,2.0 5aop_h + h_h --> 2.0 h2o_h + ppbng_h,Porphobilinogen synthase,Unassigned
Q23DO,o2_c + quc_c --> 2pcpgc_c + co_c,Quercetin 2 3 dioxygenase,Unassigned
r1377,fald_c + gthrd_c --> HC02121_c,S-(hydroxymethyl)glutathione synthase Methane metabolism EC:4.4.1.22,Unassigned
RDH2a,nadp_c + retinol_9_cis_c --> h_c + nadph_c + retinal_cis_9_c,"Retinol dehydrogenase (9-cis,NADPH)",Unassigned
RE1711C_2,CE1918_c + nad_c --> 5hoxindact_c + h_c + nadh_c,RE1711,Unassigned
RE2034C,C02356_c + akg_c --> 2obut_c + glu__L_c,Alanine Transaminase,Unassigned
SBTRh,nadp_h + sbt__D_h --> Glc_aD_h + h_h + nadph_h,D-Glucitol:NADP+ 1-oxidoreductase,Unassigned
SERD_D,ser__D_c --> nh4_c + pyr_c,D-serine deaminase,Unassigned
SGOR,fad_c + sphgn_c --> fadh2_c + sphings_c,Sphinganine oxidoreductase,Unassigned
SPMS,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,Spermidine synthase,Unassigned
SULFT,cn_c + thios_c --> so3_c + thioc_c,Sulfurtransferase (thiosulfate),Unassigned
T2M26DCOAHLm,h2o_m + t2m26dcoa_m --> 3h26dm5coa_m,"Trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (m)",Unassigned
UACMAMO,h2o_c + 2.0 nad_c + uacmam_c --> 3.0 h_c + 2.0 nadh_c + uacmamu_c,UDP-N-acetyl-D-mannosamine oxidoreductase,Unassigned
BCDO,caro_c + o2_c --> 2.0 retinal_c,Beta-Carotene dioxygenase,Unassigned
GLCNACAMS,mal__L_c + uacgam_c --> acgamm_c + h_c + udp_c,N-acetyl-alpha-D-glucosaminyl L-malate synthase,Unassigned
ACTD,actn__R_c + nad_c --> diact_c + h_c + nadh_c,Acetoin dehydrogenase,Unassigned
CRNCDH,crncoa_c --> ctbtcoa_c + h2o_c,Carnityl-CoA dehydratse,Unassigned
CMLBL,4cnbt_c + h2o_c --> h_c + malac_c,CARBOXYMETHYLENEBUTENOLIDASE-RXN,Unassigned
FORA,frmd_c + h2o_c --> for_c + h_c + nh4_c,Formamidase,Unassigned
DHPTPE,ahdt_c --> dhmptp_c,Dihydroneopterin triphosphate 2'-epimerase,Unassigned
HAS2,ha_pre1_e + uacgam_c + udpglcur_c --> 2.0 h_c + ha_e + 2.0 udp_c,Hyaluronan synthase,Unassigned
DKII,46dh25dohxn_c + h_c + nadh_c --> 2ddglcn_c + nad_c,2 dehydro 3 deoxy D gluconate 5 dehydrogenase,Unassigned
LDH_L,lac__L_c + nad_c --> h_c + nadh_c + pyr_c,L-lactate dehydrogenase,Unassigned
MGSA,dhap_c --> mthgxl_c + pi_c,Methylglyoxal synthase,Unassigned
3HPPPNH,3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,3-(3-hydroxy-phenyl)propionate hydroxylase,Unassigned
MSHS,accoa_c + cigam_c --> coa_c + msh_c,Mycothiol synthase,Unassigned
NMO,etha_c + fmnh2_c + o2_c --> acald_c + fmn_c + no2_c,Nitronate Monooxygenase,Unassigned
PSP,h2o_h + pser__L_h --> pi_h + ser__L_h,Phosphoserine phosphatase,Unassigned
ASP1DC,asp__L_c + h_c --> ala_B_c + co2_c,Aspartate 1-decarboxylase,Unassigned
PPCOAC,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c,Propionyl-CoA carboxylase,Unassigned
RHMND,rhmn_c --> h2o_c + lkdr_c,L-rhamnonate dehydratase,Unassigned
UDPGD,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,UDPglucose 6-dehydrogenase,Unassigned
3HPPD,3hpp_c + nad_c --> h_c + msa_c + nadh_c,3-hydroxypropionate dehydrogenase,Unassigned
ACONT,cit_c --> icit_c,Aconitate hydratase,Unassigned
ACCOALm,atp_m + coa_m + ppa_m --> amp_m + ppcoa_m + ppi_m,Acetate-CoA ligase (AMP-forming),Unassigned
UGAH,h2o_m + h_m + udg_m --> nh4_m + urdglyc_m,Ureidoglycine aminohydrolase,Unassigned
ACMAA,h2o_c + pepm_w --> aglaa_e + anhgm_w,N-acetylmuramoyl-L-alanine amidase,Unassigned
GLUN,gln__L_c + h2o_c --> glu__L_c + nh4_c,Glutaminase,Unassigned
OCT,cbp_c + orn_c --> citr__L_c + pi_c,Ornithine carbamoyltransferase,Unassigned
SKDH,3dhsk_h + h_h + nadph_h --> nadp_h + skm_h,Shikimate dehydrogenase,Unassigned
SKK,atp_h + skm_h --> adp_h + h_h + skm5p_h,Shikimate kinase,Unassigned
DQDH,3dhq_h --> 3dhsk_h + h2o_h,3-deydroquinate dehydratase,Unassigned
BZSCD,bzsuccoa_c + fad_c --> fadh2_c + phitcoa_c,Benzylsuccinyl-CoA dehydrogenase,Unassigned
MPML,atp_c + h2o_c + mg2_c + ppp9_c --> adp_c + 3.0 h_c + mppp9_c + pi_c,Mg-protoporphyrin IX magnesium-lyase,Unassigned
CELASE1,cell4_c + h2o_c --> 2.0 cellb_c,Celluase,Unassigned
CHOLD2,chol_c + fad_c --> betald_c + fadh2_c,Choline dehydrogenase  FAD dependent ,Unassigned
DMBZIDS2,fmnh2_c + h_c + nadh_c + o2_c --> dialurate_c + dmbzid_c + e4p_c + h2o_c + nad_c,"5,6-dimethylbenzimidazole synthase",Unassigned
CYRDAS,2.0 atp_c + cobya_c + 2.0 gln__L_c + h2o_c --> 2.0 adp_c + co2dam_c + 2.0 glu__L_c + h_c + ppi_c,"Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)",Unassigned
CPC5MT,amet_c + copre5_c + h2o_c --> acald_c + ahcys_c + copre6_c + h_c,Precorrin-5 C1-methyltransferase,Unassigned
PCT,ctp_c + h_c + ptdoh_MRSA_c --> cdpdag_MRSA_c + pi_c,Phosphatidate cytidylyltransferase,Unassigned
CXSAMS,amet_c + pphn_c --> cxsam_c + h2o_c + phpyr_c,Carboxy-S-adenosyl-L-methionine synthase,Unassigned
THRPDC,h_c + thrp_c --> applp_c + co2_c,L threonine phosphate decarboxylase,Unassigned
G1PUT_h,g1p_h + h_h + utp_h --> ppi_h + udpg_h,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,Unassigned
CYNL,cynt_c + h_c + hco3_c --> cbm_c + co2_c,Cyanate lyase,Unassigned
CYTBD,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cytochrome oxidase bd (ubiquinol-8: 2 protons),Unassigned
H4THDPR,4hthdp_c + h_c + nadph_c --> h2o_c + nadp_c + thdp_c,4-hydroxy-tetrahydrodipicolinate reductase,Unassigned
APATi,accoa_c + h2o_c + thdp_c --> acamoxm_c + coa_c,Tetrahydrodipicolinate acetyltransferase,Unassigned
13PPDH,3hppnl_c + h_c + nadh_c --> 13ppd_c + nad_c,"1,3-propanediol dehydrogenase",Unassigned
DHPD,56dura_c + h2o_c --> cala_c,Dihydropyrimidinase,Unassigned
SALCOD,2.0 h_c + nadh_c + o2_c + salc_c --> catechol_c + co2_c + h2o_c + nad_c,Salicylate NADH oxygen oxidoreductase 1-hydroxylating  ,Unassigned
DXRI,dxyl5p_h + h_h + nadph_h --> 2me4p_h + nadp_h,1-deoxy-D-xylulose-5-phosphate reductoisomerase,Unassigned
DXS,g3p_h + h_h + pyr_h --> co2_h + dxyl5p_h,1-deoxy-D-xylulose-5-phosphate synthase,Unassigned
TDPGALPT,akg_c + dtdp3a36ddgalp_c --> dtdp3d6dgalp_c + glu__L_c,"DTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase",Unassigned
TDPGALPACT,accoa_c + dtdp3a36ddgalp_c --> coa_c + dtdpquip3nac_c + h_c,"DTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase",Unassigned
DHNPA,dhnpt_c --> 2ahhmp_c + gcald_c + h_c,Dihydroneopterin aldolase,Unassigned
r1378,HC02121_c + nad_c --> Sfglutth_c + h_c + nadh_c,S-(hydroxymethyl)glutathione dehydrogenase Methane metabolism EC:1.1.1.284,Unassigned
GAPD_1,g3p_c + nad_c + pi_c --> 13dpg_c + nadh_c,Glyceraldehyde-3-phosphate dehydrogenase,Unassigned
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,Glycerate kinase,Unassigned
HOXPRx,glyc__R_c + nad_c --> 2h3opp_c + h_c + nadh_c,2 hydroxy 3 oxopropionate reductase  NAD ,Unassigned
GLCDe,glc__D_e + h2o_e + q8_c --> glcn_e + h_e + q8h2_c,Glucose dehydrogenase (ubiquinone-8 as acceptor),Unassigned
GLYDHD,gly_m + lpro_m --> alpro_m + co2_m,Glycine dehydrogenase (decarboxylating),Unassigned
GDH1,glu__L_c + h2o_c + nad_c --> akg_c + 2.0 h_c + nadh_c + nh3_c,Glutamate dehydrogenase (NAD),Unassigned
GDH2,glc__bD_c + nadp_c --> 15gl_c + h_c + nadph_c,Glucose 1-dehydrogenase (NADPH),Unassigned
GLYCTO2,glyclt_c + q8_c --> glx_c + q8h2_c,Glycolate oxidase,Unassigned
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,Glycolate oxidase,Unassigned
GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,Glycolate oxidase,Unassigned
GLUK,atp_c + glc__D_c --> adp_c + g6p_B_c + h_c,Glucokinase,Unassigned
G3PD1,dhap_h + h_h + nadh_h --> glyc3p_h + nad_h,Glycerol-3-phosphate dehydrogenase (NAD),Unassigned
GLUS_nadph,akg_h + gln__L_h + h_h + nadph_h --> 2.0 glu__L_h + nadp_h,Glutamate synthase (NADPH),Unassigned
GDR,gthox_c + h_c + nadh_c --> 2.0 gthrd_c + nad_c,Glutathione-disulfide reductase,Unassigned
GTHS_1,atp_h + glucys_h + gly_h --> adp_h + gthrd_h + 2.0 h_h + pi_h,Glutathione synthase,Unassigned
GMPS,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,GMP synthase,Unassigned
IDTDH,h_c + nadh_c + srb__L_c --> idt_c + nad_c,L-IDITOL-2-DEHYDROGENASE-RXN,Unassigned
GLYOX3,h2o_c + mthgxl_c --> h_c + lac__D_c,Glyoxalase III,Unassigned
4HBZR,4hbzcoa_c + fdxr_42_c + 6.0 h_c --> benzcoa_c + fdxo_42_c + h2o_c,4-hydroxybenzoylCoA reducatse,Unassigned
FECPP3O,2.0 amet_c + fecpp3_c --> 2.0 co2_c + 2.0 dad_5_c + 4.0 h_c + 2.0 met__L_c + pheme_c,Fe-coproporphyrin III oxidase/dehydrogenase,Unassigned
NAD_H2,h_c + nadh_c --> h2_c + nad_c,NAD-linked hydrogenase,Unassigned
HSDH,aspsa_h + h_h + nadph_h --> hom__L_h + nadp_h,Homoserine dehydrogenase,Unassigned
INS2D,inost_c + nad_c --> 2ins_c + h_c + nadh_c,Inositol 2-dehydrogenase,Unassigned
MOAT,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c,3-deoxy-D-manno-octulosonic acid transferase,Unassigned
IPMD_1,3c2hmp_c + nad_c --> 2ip3os_c + h_c + nadh_c,3-isopropylmalate dehydrogenase,Unassigned
TDSK,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c,Tetraacyldisaccharide 4'kinase,Unassigned
LAURTRANS,ddcaACP_c + kdo2lipid4_c --> ACP_c + laur_kdo2lipid4_c,Lauroyl acyltransferase to tetra-acyl KDO2 lipid A,Unassigned
r1391,dxtrn_c --> HC02136_c,"Amylo-1,6-glucosidase, 4-alpha-glucanotransferase EC:2.4.1.25",Unassigned
ALCD1,meoh_c + nad_c --> fald_c + h_c + nadh_c,Alcohol dehydrogenase (methanol),Unassigned
SHCHCS3,2sephchc_c --> 2shchc_c + pyr_c,"2-succinyl-6-hydroxy-2,4-cyclohexadiene 1-carboxylate synthase",Unassigned
HKNDDH,h2o_c + hkndd_c --> h_c + op4en_c + succ_c,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",Unassigned
HIBD,3hmp_c + nad_c --> 2mop_c + h_c + nadh_c,3 hydroxyisobutyrate dehydrogenase,Unassigned
GTPC,amet_c + gtp_c --> 38ch2gtp_c + dad_5_c + met__L_c,"GTP 3',8'-cyclase",Unassigned
FMNRy_1,fmn_c + 2.0 h_c + nadph_c --> fmnh2_c + nadp_c,FMN reductase NADPH dependent,Unassigned
AHCYSNS,ahcys_c + h2o_c --> ade_c + rhcys_c,S-adenosylhomocysteine nucleosidase,Unassigned
UAATAAL,alaala_c + atp_c + uamagl_c --> adp_c + h_c + pi_c + uamaglaa_c,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Unassigned
DGTP8DETOX,8oxdgtp_c + h2o_c --> 8oxdgmp_c + h_c + ppi_c,8-oxo-dGTP diphosphohydrolase,Unassigned
PBAL,ala_B_c + atp_c + pant__R_c --> amp_c + 2.0 h_c + pnto__R_c + ppi_c,Pantoate---beta-alanine ligase,Unassigned
HTHRPDH,nad_c + phthr_c --> 2a3pp_c + h_c + nadh_c,4-hydroxythreonine-4-phosphate dehydrogenase,Unassigned
PDX5PSc,3a2oprop_c + dxyl5p_c --> 2.0 h2o_c + h_c + pdx5p_c + pi_c,Pyrodoxine-5-phosphate synthase c,Unassigned
PHEH_c,o2_c + phe__L_c + thbpt_c --> hthbp_c + tyr__L_c,Phenylalanine hydroxylase,Unassigned
PRO1x,nad_c + pro__L_c --> 1pyr5c_c + 2.0 h_c + nadh_c,Proline oxidase  L proline  NAD ,Unassigned
RIBFS,2.0 dmlz_h + h_h --> 4r5au_h + ribflv_h,Riboflavin synthase,Unassigned
SER_AL,ser__L_c --> h_c + nh3_c + pyr_c,L-serine ammonia-lyase,Unassigned
SLDK,atp_m + h2o_m + seln_m --> amp_m + 2.0 h_m + pi_m + selnp_m,"Selenide, water dikinase",Unassigned
SULR_ferr,6.0 fdxrd_h + so3_h --> 6.0 fdxox_h + 3.0 h2o_h + h2s_h + 6.0 h_h,Sulfite reductase (ferredoxin),Unassigned
THD2,2.0 h_e + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,NAD(P) transhydrogenase,Unassigned
UPP3MT_1,2.0 amet_h + uppg3_h --> 2.0 ahcys_h + dscl_h + 2.0 h_h,Uroporphyrinogen methyltransferase,Unassigned
TMDS3,dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c,Thymidylate synthase (FAD dependent),Unassigned
TRPS2_1,ind_c + ser__L_c --> h2o_c + trp__L_c,Tryptophan synthase,Unassigned
URIC,2.0 h2o_c + o2_c + urate_c --> alltn_c + co2_c + h2o2_c,Uricase,Unassigned
UAG4E,uacgam_c --> uacgala_c,UDP N acetylglucosamine 4 epimerase,Unassigned
UDPGPT,udcpp_c + udpg_c --> udcpgl_c + ump_c,Undecaprenyl-phosphate glucose phosphotransferase,Unassigned
GLCE,glc__D_c --> glc_D_B_c,Alpha-D-Glucose 1-epimerase ,Unassigned
PHENOL2MONOO,h_c + nadph_c + o2_c + phenol_c --> catechol_c + h2o_c + nadp_c,phenol 2 monooxygenase),Unassigned
PCRESOLMeH1,2.0 cu2azurin_p + h2o_p + pcresol_p --> 4hba_p + 2.0 cu1azurin_p + 2.0 h_p,p-cresol methylhydroxylase,Unassigned
PCRESOLMeH2,4hba_p + 2.0 cu2azurin_p + h2o_p --> 4hbald_p + 2.0 cu1azurin_p + 2.0 h_p,p-cresol methylhydroxylase,Unassigned
AZURINRe,4.0 cu1azurin_p + 4.0 h_p + o2_p --> 4.0 cu2azurin_p + 2.0 h2o_p,Azurin recycle to oxidized state,Unassigned
3HOXPACt2pp,3hoxpac_p + pep_c <=> 3hoxpac_c + pi_c + pyr_c,3-Hydroxyphenylacetic acid permease to cytoplasm,Unassigned
3HPA6OX,3hoxpac_c + h_c + nadph_c + o2_c --> h2o_c + hgentis_c + nadp_c,3-Hydroxyphenylacetate 6-monooxygenase),Unassigned
4HALDD,4hoxpacd_c + h2o_c + nad_c --> 4hphac_c + 2.0 h_c + nadh_c,Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD ,Unassigned
CMCMSAD,5cmhmsa_c + h2o_c + nad_c --> 5cmhm_c + 2.0 h_c + nadh_c,4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase,Unassigned
OPTCCL,5cohe_c + h_c --> 2hh24dd_c + co2_c,5 carboxy 2 oxohept 3 enedioate decarboxylation,Unassigned
2HH24DDH,2hh24dd_c + h2o_c --> 4h2kpi_c,2hh24dd hydratase,Unassigned
4H2KPILY,4h2kpi_c --> pyr_c + sucsal_c,4h2kpi Lyase,Unassigned
ARABD,Lara14lac_c + h_c + nadh_c --> arab__L_c + nad_c,L-ARABINOSE-1-DEHYDROGENASE-RXN,Unassigned
LARABLN,Lara14lac_c + h2o_c --> Larabnt_c,"L-arabino-1,4-lactonase",Unassigned
LARABTD,Larabnt_c --> 2d3darabnt_c + h2o_c,L-arabinate dehydratase,Unassigned
2DLARAA,2d3darabnt_c --> gcald_c + pyr_c,2-dehydro-3-deoxy L-arabinate aldolase,Unassigned
DRBK,atp_c + drib_c --> 2dr5p_c + adp_c + h_c,Deoxyribokinase,Unassigned
DRPA,2dr5p_c --> acald_c + g3p_c,Deoxyribose-phosphate aldolase,Unassigned
AMPEP11,gly_pro__L_c + h2o_c --> gly_c + h_c + pro__L_c,Aminopeptidase ,Unassigned
XYLK,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,Xylulokinase,Unassigned
XYLI1,xyl__D_c --> xylu__D_c,Xylose isomerase,Unassigned
TOLOMONOOX1,h_c + nadh_c + o2_c + ocresol_c --> 3mcat_c + h2o_c + nad_c,Toluene ortho monooxygenase hydroxylase,Unassigned
TOLOMONOOX2,h_c + mcresol_c + nadh_c + o2_c --> 3mcat_c + h2o_c + nad_c,Toluene ortho monooxygenase hydroxylase,Unassigned
TOLOMONOOX3,h_c + mcresol_c + nadh_c + o2_c --> 3mcat_c + h2o_c + nad_c,Toluene ortho monooxygenase hydroxylase,Unassigned
TOLOMONOOX4,h_c + nadh_c + o2_c + pcresol_c --> 3mcat_c + h2o_c + nad_c,Toluene ortho monooxygenase hydroxylase,Unassigned
